0,1,2,3,4,5,6,7,8,9,10,11,12
"('id', 15907488)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 109.0)","('visitor_team_score', 105.0)","('home_team', NBATeam(id=24, conference='West', division='Pacific', city='Phoenix', name='Suns', full_name='Phoenix Suns', abbreviation='PHX'))","('home_team_id', None)","('visitor_team', NBATeam(id=14, conference='West', division='Pacific', city='Los Angeles', name='Lakers', full_name='Los Angeles Lakers', abbreviation='LAL'))","('visitor_team_id', None)"
"('id', 15907482)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 106.0)","('visitor_team_score', 98.0)","('home_team', NBATeam(id=16, conference='East', division='Southeast', city='Miami', name='Heat', full_name='Miami Heat', abbreviation='MIA'))","('home_team_id', None)","('visitor_team', NBATeam(id=9, conference='East', division='Central', city='Detroit', name='Pistons', full_name='Detroit Pistons', abbreviation='DET'))","('visitor_team_id', None)"
"('id', 15907489)","('date', '2024-10-28')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 111.0)","('visitor_team_score', 98.0)","('home_team', NBATeam(id=26, conference='West', division='Pacific', city='Sacramento', name='Kings', full_name='Sacramento Kings', abbreviation='SAC'))","('home_team_id', None)","('visitor_team', NBATeam(id=25, conference='West', division='Northwest', city='Portland', name='Trail Blazers', full_name='Portland Trail Blazers', abbreviation='POR'))","('visitor_team_id', None)"
"('id', 15907491)","('date', '2024-10-29')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 114.0)","('visitor_team_score', 120.0)","('home_team', NBATeam(id=18, conference='West', division='Northwest', city='Minnesota', name='Timberwolves', full_name='Minnesota Timberwolves', abbreviation='MIN'))","('home_team_id', None)","('visitor_team', NBATeam(id=7, conference='West', division='Southwest', city='Dallas', name='Mavericks', full_name='Dallas Mavericks', abbreviation='DAL'))","('visitor_team_id', None)"
"('id', 15907490)","('date', '2024-10-29')","('season', 2024)","('status', 'Final')","('period', 5.0)","('time', 'Final')","('postseason', False)","('home_team_score', 139.0)","('visitor_team_score', 144.0)","('home_team', NBATeam(id=3, conference='East', division='Atlantic', city='Brooklyn', name='Nets', full_name='Brooklyn Nets', abbreviation='BKN'))","('home_team_id', None)","('visitor_team', NBATeam(id=8, conference='West', division='Northwest', city='Denver', name='Nuggets', full_name='Denver Nuggets', abbreviation='DEN'))","('visitor_team_id', None)"
"('id', 15907492)","('date', '2024-10-29')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 96.0)","('visitor_team_score', 113.0)","('home_team', NBATeam(id=29, conference='West', division='Northwest', city='Utah', name='Jazz', full_name='Utah Jazz', abbreviation='UTA'))","('home_team_id', None)","('visitor_team', NBATeam(id=26, conference='West', division='Pacific', city='Sacramento', name='Kings', full_name='Sacramento Kings', abbreviation='SAC'))","('visitor_team_id', None)"
"('id', 15907493)","('date', '2024-10-29')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 124.0)","('visitor_team_score', 106.0)","('home_team', NBATeam(id=10, conference='West', division='Pacific', city='Golden State', name='Warriors', full_name='Golden State Warriors', abbreviation='GSW'))","('home_team_id', None)","('visitor_team', NBATeam(id=19, conference='West', division='Southwest', city='New Orleans', name='Pelicans', full_name='New Orleans Pelicans', abbreviation='NOP'))","('visitor_team_id', None)"
"('id', 15907499)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 107.0)","('visitor_team_score', 116.0)","('home_team', NBATeam(id=16, conference='East', division='Southeast', city='Miami', name='Heat', full_name='Miami Heat', abbreviation='MIA'))","('home_team_id', None)","('visitor_team', NBATeam(id=20, conference='East', division='Atlantic', city='New York', name='Knicks', full_name='New York Knicks', abbreviation='NYK'))","('visitor_team_id', None)"
"('id', 15907500)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 102.0)","('visitor_team_score', 99.0)","('home_team', NBATeam(id=5, conference='East', division='Central', city='Chicago', name='Bulls', full_name='Chicago Bulls', abbreviation='CHI'))","('home_team_id', None)","('visitor_team', NBATeam(id=22, conference='East', division='Southeast', city='Orlando', name='Magic', full_name='Orlando Magic', abbreviation='ORL'))","('visitor_team_id', None)"
"('id', 15907501)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 106.0)","('visitor_team_score', 119.0)","('home_team', NBATeam(id=15, conference='West', division='Southwest', city='Memphis', name='Grizzlies', full_name='Memphis Grizzlies', abbreviation='MEM'))","('home_team_id', None)","('visitor_team', NBATeam(id=3, conference='East', division='Atlantic', city='Brooklyn', name='Nets', full_name='Brooklyn Nets', abbreviation='BKN'))","('visitor_team_id', None)"
"('id', 15907494)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 138.0)","('visitor_team_score', 133.0)","('home_team', NBATeam(id=4, conference='East', division='Southeast', city='Charlotte', name='Hornets', full_name='Charlotte Hornets', abbreviation='CHA'))","('home_team_id', None)","('visitor_team', NBATeam(id=28, conference='East', division='Atlantic', city='Toronto', name='Raptors', full_name='Toronto Raptors', abbreviation='TOR'))","('visitor_team_id', None)"
"('id', 15907495)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 134.0)","('visitor_team_score', 110.0)","('home_team', NBATeam(id=6, conference='East', division='Central', city='Cleveland', name='Cavaliers', full_name='Cleveland Cavaliers', abbreviation='CLE'))","('home_team_id', None)","('visitor_team', NBATeam(id=14, conference='West', division='Pacific', city='Los Angeles', name='Lakers', full_name='Los Angeles Lakers', abbreviation='LAL'))","('visitor_team_id', None)"
"('id', 15907496)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 5.0)","('time', 'Final')","('postseason', False)","('home_team_score', 135.0)","('visitor_team_score', 132.0)","('home_team', NBATeam(id=12, conference='East', division='Central', city='Indiana', name='Pacers', full_name='Indiana Pacers', abbreviation='IND'))","('home_team_id', None)","('visitor_team', NBATeam(id=2, conference='East', division='Atlantic', city='Boston', name='Celtics', full_name='Boston Celtics', abbreviation='BOS'))","('visitor_team_id', None)"
"('id', 15907497)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 95.0)","('visitor_team_score', 105.0)","('home_team', NBATeam(id=23, conference='East', division='Atlantic', city='Philadelphia', name='76ers', full_name='Philadelphia 76ers', abbreviation='PHI'))","('home_team_id', None)","('visitor_team', NBATeam(id=9, conference='East', division='Central', city='Detroit', name='Pistons', full_name='Detroit Pistons', abbreviation='DET'))","('visitor_team_id', None)"
"('id', 15907498)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 133.0)","('visitor_team_score', 120.0)","('home_team', NBATeam(id=30, conference='East', division='Southeast', city='Washington', name='Wizards', full_name='Washington Wizards', abbreviation='WAS'))","('home_team_id', None)","('visitor_team', NBATeam(id=1, conference='East', division='Southeast', city='Atlanta', name='Hawks', full_name='Atlanta Hawks', abbreviation='ATL'))","('visitor_team_id', None)"
"('id', 15907502)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 105.0)","('visitor_team_score', 93.0)","('home_team', NBATeam(id=21, conference='West', division='Northwest', city='Oklahoma City', name='Thunder', full_name='Oklahoma City Thunder', abbreviation='OKC'))","('home_team_id', None)","('visitor_team', NBATeam(id=27, conference='West', division='Southwest', city='San Antonio', name='Spurs', full_name='San Antonio Spurs', abbreviation='SAS'))","('visitor_team_id', None)"
"('id', 15907503)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 104.0)","('visitor_team_score', 89.0)","('home_team', NBATeam(id=10, conference='West', division='Pacific', city='Golden State', name='Warriors', full_name='Golden State Warriors', abbreviation='GSW'))","('home_team_id', None)","('visitor_team', NBATeam(id=19, conference='West', division='Southwest', city='New Orleans', name='Pelicans', full_name='New Orleans Pelicans', abbreviation='NOP'))","('visitor_team_id', None)"
"('id', 15907504)","('date', '2024-10-30')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 105.0)","('visitor_team_score', 106.0)","('home_team', NBATeam(id=13, conference='West', division='Pacific', city='LA', name='Clippers', full_name='LA Clippers', abbreviation='LAC'))","('home_team_id', None)","('visitor_team', NBATeam(id=25, conference='West', division='Northwest', city='Portland', name='Trail Blazers', full_name='Portland Trail Blazers', abbreviation='POR'))","('visitor_team_id', None)"
"('id', 15907507)","('date', '2024-10-31')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 88.0)","('visitor_team_score', 106.0)","('home_team', NBATeam(id=29, conference='West', division='Northwest', city='Utah', name='Jazz', full_name='Utah Jazz', abbreviation='UTA'))","('home_team_id', None)","('visitor_team', NBATeam(id=27, conference='West', division='Southwest', city='San Antonio', name='Spurs', full_name='San Antonio Spurs', abbreviation='SAS'))","('visitor_team_id', None)"
"('id', 15907505)","('date', '2024-10-31')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 122.0)","('visitor_team_score', 99.0)","('home_team', NBATeam(id=15, conference='West', division='Southwest', city='Memphis', name='Grizzlies', full_name='Memphis Grizzlies', abbreviation='MEM'))","('home_team_id', None)","('visitor_team', NBATeam(id=17, conference='East', division='Central', city='Milwaukee', name='Bucks', full_name='Milwaukee Bucks', abbreviation='MIL'))","('visitor_team_id', None)"
"('id', 15907506)","('date', '2024-10-31')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 102.0)","('visitor_team_score', 108.0)","('home_team', NBATeam(id=7, conference='West', division='Southwest', city='Dallas', name='Mavericks', full_name='Dallas Mavericks', abbreviation='DAL'))","('home_team_id', None)","('visitor_team', NBATeam(id=11, conference='West', division='Southwest', city='Houston', name='Rockets', full_name='Houston Rockets', abbreviation='HOU'))","('visitor_team_id', None)"
"('id', 15907508)","('date', '2024-10-31')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 119.0)","('visitor_team_score', 125.0)","('home_team', NBATeam(id=13, conference='West', division='Pacific', city='LA', name='Clippers', full_name='LA Clippers', abbreviation='LAC'))","('home_team_id', None)","('visitor_team', NBATeam(id=24, conference='West', division='Pacific', city='Phoenix', name='Suns', full_name='Phoenix Suns', abbreviation='PHX'))","('visitor_team_id', None)"
"('id', 15907511)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 98.0)","('visitor_team_score', 128.0)","('home_team', NBATeam(id=9, conference='East', division='Central', city='Detroit', name='Pistons', full_name='Detroit Pistons', abbreviation='DET'))","('home_team_id', None)","('visitor_team', NBATeam(id=20, conference='East', division='Atlantic', city='New York', name='Knicks', full_name='New York Knicks', abbreviation='NYK'))","('visitor_team_id', None)"
"('id', 15907512)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 115.0)","('visitor_team_score', 123.0)","('home_team', NBATeam(id=1, conference='East', division='Southeast', city='Atlanta', name='Hawks', full_name='Atlanta Hawks', abbreviation='ATL'))","('home_team_id', None)","('visitor_team', NBATeam(id=26, conference='West', division='Pacific', city='Sacramento', name='Kings', full_name='Sacramento Kings', abbreviation='SAC'))","('visitor_team_id', None)"
"('id', 15907515)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 125.0)","('visitor_team_score', 118.0)","('home_team', NBATeam(id=19, conference='West', division='Southwest', city='New Orleans', name='Pelicans', full_name='New Orleans Pelicans', abbreviation='NOP'))","('home_team_id', None)","('visitor_team', NBATeam(id=12, conference='East', division='Central', city='Indiana', name='Pacers', full_name='Indiana Pacers', abbreviation='IND'))","('visitor_team_id', None)"
"('id', 15907516)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 119.0)","('visitor_team_score', 116.0)","('home_team', NBATeam(id=18, conference='West', division='Northwest', city='Minnesota', name='Timberwolves', full_name='Minnesota Timberwolves', abbreviation='MIN'))","('home_team_id', None)","('visitor_team', NBATeam(id=8, conference='West', division='Northwest', city='Denver', name='Nuggets', full_name='Denver Nuggets', abbreviation='DEN'))","('visitor_team_id', None)"
"('id', 15907517)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 114.0)","('visitor_team_score', 137.0)","('home_team', NBATeam(id=25, conference='West', division='Northwest', city='Portland', name='Trail Blazers', full_name='Portland Trail Blazers', abbreviation='POR'))","('home_team_id', None)","('visitor_team', NBATeam(id=21, conference='West', division='Northwest', city='Oklahoma City', name='Thunder', full_name='Oklahoma City Thunder', abbreviation='OKC'))","('visitor_team_id', None)"
"('id', 15907513)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 120.0)","('visitor_team_score', 112.0)","('home_team', NBATeam(id=3, conference='East', division='Atlantic', city='Brooklyn', name='Nets', full_name='Brooklyn Nets', abbreviation='BKN'))","('home_team_id', None)","('visitor_team', NBATeam(id=5, conference='East', division='Central', city='Chicago', name='Bulls', full_name='Chicago Bulls', abbreviation='CHI'))","('visitor_team_id', None)"
"('id', 15907514)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 125.0)","('visitor_team_score', 131.0)","('home_team', NBATeam(id=28, conference='East', division='Atlantic', city='Toronto', name='Raptors', full_name='Toronto Raptors', abbreviation='TOR'))","('home_team_id', None)","('visitor_team', NBATeam(id=14, conference='West', division='Pacific', city='Los Angeles', name='Lakers', full_name='Los Angeles Lakers', abbreviation='LAL'))","('visitor_team_id', None)"
"('id', 15907509)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 109.0)","('visitor_team_score', 124.0)","('home_team', NBATeam(id=4, conference='East', division='Southeast', city='Charlotte', name='Hornets', full_name='Charlotte Hornets', abbreviation='CHA'))","('home_team_id', None)","('visitor_team', NBATeam(id=2, conference='East', division='Atlantic', city='Boston', name='Celtics', full_name='Boston Celtics', abbreviation='BOS'))","('visitor_team_id', None)"
"('id', 15907510)","('date', '2024-11-01')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 120.0)","('visitor_team_score', 109.0)","('home_team', NBATeam(id=6, conference='East', division='Central', city='Cleveland', name='Cavaliers', full_name='Cleveland Cavaliers', abbreviation='CLE'))","('home_team_id', None)","('visitor_team', NBATeam(id=22, conference='East', division='Southeast', city='Orlando', name='Magic', full_name='Orlando Magic', abbreviation='ORL'))","('visitor_team_id', None)"
"('id', 15907518)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 103.0)","('visitor_team_score', 113.0)","('home_team', NBATeam(id=4, conference='East', division='Southeast', city='Charlotte', name='Hornets', full_name='Charlotte Hornets', abbreviation='CHA'))","('home_team_id', None)","('visitor_team', NBATeam(id=2, conference='East', division='Atlantic', city='Boston', name='Celtics', full_name='Boston Celtics', abbreviation='BOS'))","('visitor_team_id', None)"
"('id', 15907519)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 107.0)","('visitor_team_score', 124.0)","('home_team', NBATeam(id=23, conference='East', division='Atlantic', city='Philadelphia', name='76ers', full_name='Philadelphia 76ers', abbreviation='PHI'))","('home_team_id', None)","('visitor_team', NBATeam(id=15, conference='West', division='Southwest', city='Memphis', name='Grizzlies', full_name='Memphis Grizzlies', abbreviation='MEM'))","('visitor_team_id', None)"
"('id', 15907520)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 5.0)","('time', 'Final')","('postseason', False)","('home_team_score', 131.0)","('visitor_team_score', 128.0)","('home_team', NBATeam(id=28, conference='East', division='Atlantic', city='Toronto', name='Raptors', full_name='Toronto Raptors', abbreviation='TOR'))","('home_team_id', None)","('visitor_team', NBATeam(id=26, conference='West', division='Pacific', city='Sacramento', name='Kings', full_name='Sacramento Kings', abbreviation='SAC'))","('visitor_team_id', None)"
"('id', 15907521)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 5.0)","('time', 'Final')","('postseason', False)","('home_team_score', 121.0)","('visitor_team_score', 127.0)","('home_team', NBATeam(id=11, conference='West', division='Southwest', city='Houston', name='Rockets', full_name='Houston Rockets', abbreviation='HOU'))","('home_team_id', None)","('visitor_team', NBATeam(id=10, conference='West', division='Pacific', city='Golden State', name='Warriors', full_name='Golden State Warriors', abbreviation='GSW'))","('visitor_team_id', None)"
"('id', 15907522)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 113.0)","('visitor_team_score', 114.0)","('home_team', NBATeam(id=17, conference='East', division='Central', city='Milwaukee', name='Bucks', full_name='Milwaukee Bucks', abbreviation='MIL'))","('home_team_id', None)","('visitor_team', NBATeam(id=6, conference='East', division='Central', city='Cleveland', name='Cavaliers', full_name='Cleveland Cavaliers', abbreviation='CLE'))","('visitor_team_id', None)"
"('id', 15907523)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 113.0)","('visitor_team_score', 103.0)","('home_team', NBATeam(id=27, conference='West', division='Southwest', city='San Antonio', name='Spurs', full_name='San Antonio Spurs', abbreviation='SAS'))","('home_team_id', None)","('visitor_team', NBATeam(id=18, conference='West', division='Northwest', city='Minnesota', name='Timberwolves', full_name='Minnesota Timberwolves', abbreviation='MIN'))","('visitor_team_id', None)"
"('id', 15907524)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 98.0)","('visitor_team_score', 118.0)","('home_team', NBATeam(id=30, conference='East', division='Southeast', city='Washington', name='Wizards', full_name='Washington Wizards', abbreviation='WAS'))","('home_team_id', None)","('visitor_team', NBATeam(id=16, conference='East', division='Southeast', city='Miami', name='Heat', full_name='Miami Heat', abbreviation='MIA'))","('visitor_team_id', None)"
"('id', 15907525)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 129.0)","('visitor_team_score', 103.0)","('home_team', NBATeam(id=8, conference='West', division='Northwest', city='Denver', name='Nuggets', full_name='Denver Nuggets', abbreviation='DEN'))","('home_team_id', None)","('visitor_team', NBATeam(id=29, conference='West', division='Northwest', city='Utah', name='Jazz', full_name='Utah Jazz', abbreviation='UTA'))","('visitor_team_id', None)"
"('id', 15907526)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 103.0)","('visitor_team_score', 97.0)","('home_team', NBATeam(id=24, conference='West', division='Pacific', city='Phoenix', name='Suns', full_name='Phoenix Suns', abbreviation='PHX'))","('home_team_id', None)","('visitor_team', NBATeam(id=25, conference='West', division='Northwest', city='Portland', name='Trail Blazers', full_name='Portland Trail Blazers', abbreviation='POR'))","('visitor_team_id', None)"
"('id', 15907527)","('date', '2024-11-02')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 92.0)","('visitor_team_score', 105.0)","('home_team', NBATeam(id=13, conference='West', division='Pacific', city='LA', name='Clippers', full_name='LA Clippers', abbreviation='LAC'))","('home_team_id', None)","('visitor_team', NBATeam(id=21, conference='West', division='Northwest', city='Oklahoma City', name='Thunder', full_name='Oklahoma City Thunder', abbreviation='OKC'))","('visitor_team_id', None)"
"('id', 15907528)","('date', '2024-11-03')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 92.0)","('visitor_team_score', 106.0)","('home_team', NBATeam(id=3, conference='East', division='Atlantic', city='Brooklyn', name='Nets', full_name='Brooklyn Nets', abbreviation='BKN'))","('home_team_id', None)","('visitor_team', NBATeam(id=9, conference='East', division='Central', city='Detroit', name='Pistons', full_name='Detroit Pistons', abbreviation='DET'))","('visitor_team_id', None)"
"('id', 15907529)","('date', '2024-11-03')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 111.0)","('visitor_team_score', 126.0)","('home_team', NBATeam(id=19, conference='West', division='Southwest', city='New Orleans', name='Pelicans', full_name='New Orleans Pelicans', abbreviation='NOP'))","('home_team_id', None)","('visitor_team', NBATeam(id=1, conference='East', division='Southeast', city='Atlanta', name='Hawks', full_name='Atlanta Hawks', abbreviation='ATL'))","('visitor_team_id', None)"
"('id', 15907530)","('date', '2024-11-03')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 108.0)","('visitor_team_score', 85.0)","('home_team', NBATeam(id=7, conference='West', division='Southwest', city='Dallas', name='Mavericks', full_name='Dallas Mavericks', abbreviation='DAL'))","('home_team_id', None)","('visitor_team', NBATeam(id=22, conference='East', division='Southeast', city='Orlando', name='Magic', full_name='Orlando Magic', abbreviation='ORL'))","('visitor_team_id', None)"
"('id', 15907533)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 115.0)","('visitor_team_score', 103.0)","('home_team', NBATeam(id=9, conference='East', division='Central', city='Detroit', name='Pistons', full_name='Detroit Pistons', abbreviation='DET'))","('home_team_id', None)","('visitor_team', NBATeam(id=14, conference='West', division='Pacific', city='Los Angeles', name='Lakers', full_name='Los Angeles Lakers', abbreviation='LAL'))","('visitor_team_id', None)"
"('id', 15907534)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 93.0)","('visitor_team_score', 123.0)","('home_team', NBATeam(id=1, conference='East', division='Southeast', city='Atlanta', name='Hawks', full_name='Atlanta Hawks', abbreviation='ATL'))","('home_team_id', None)","('visitor_team', NBATeam(id=2, conference='East', division='Atlantic', city='Boston', name='Celtics', full_name='Boston Celtics', abbreviation='BOS'))","('visitor_team_id', None)"
"('id', 15907535)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 106.0)","('visitor_team_score', 104.0)","('home_team', NBATeam(id=3, conference='East', division='Atlantic', city='Brooklyn', name='Nets', full_name='Brooklyn Nets', abbreviation='BKN'))","('home_team_id', None)","('visitor_team', NBATeam(id=15, conference='West', division='Southwest', city='Memphis', name='Grizzlies', full_name='Memphis Grizzlies', abbreviation='MEM'))","('visitor_team_id', None)"
"('id', 15907537)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 126.0)","('visitor_team_score', 135.0)","('home_team', NBATeam(id=5, conference='East', division='Central', city='Chicago', name='Bulls', full_name='Chicago Bulls', abbreviation='CHI'))","('home_team_id', None)","('visitor_team', NBATeam(id=29, conference='West', division='Northwest', city='Utah', name='Jazz', full_name='Utah Jazz', abbreviation='UTA'))","('visitor_team_id', None)"
"('id', 15907538)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 109.0)","('visitor_team_score', 97.0)","('home_team', NBATeam(id=11, conference='West', division='Southwest', city='Houston', name='Rockets', full_name='Houston Rockets', abbreviation='HOU'))","('home_team_id', None)","('visitor_team', NBATeam(id=20, conference='East', division='Atlantic', city='New York', name='Knicks', full_name='New York Knicks', abbreviation='NYK'))","('visitor_team_id', None)"
"('id', 15907539)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 114.0)","('visitor_team_score', 93.0)","('home_team', NBATeam(id=18, conference='West', division='Northwest', city='Minnesota', name='Timberwolves', full_name='Minnesota Timberwolves', abbreviation='MIN'))","('home_team_id', None)","('visitor_team', NBATeam(id=4, conference='East', division='Southeast', city='Charlotte', name='Hornets', full_name='Charlotte Hornets', abbreviation='CHA'))","('visitor_team_id', None)"
"('id', 15907531)","('date', '2024-11-04')","('season', 2024)","('status', 'Final')","('period', 4.0)","('time', 'Final')","('postseason', False)","('home_team_score', 116.0)","('visitor_team_score', 114.0)","('home_team', NBATeam(id=6, conference='East', division='Central', city='Cleveland', name='Cavaliers', full_name='Cleveland Cavaliers', abbreviation='CLE'))","('home_team_id', None)","('visitor_team', NBATeam(id=17, conference='East', division='Central', city='Milwaukee', name='Bucks', full_name='Milwaukee Bucks', abbreviation='MIL'))","('visitor_team_id', None)"
